ticker,factor_score,momentum_z,volatility_z,value_z,quality_z,momentum_raw,volatility_raw,value_raw,quality_raw,sector
ABBV,1.2969186364233214,1.310646591423317,1.0942762820776293,0.4242640687119287,2.620447856494685,0.4487724437465588,0.22344924838969943,0.6666666666666666,2.0,Healthcare
AFL,0.150150216382696,1.075546553535748,1.0034618792277599,-1.2727922061357855,-0.52590583975511,0.3747096386685038,0.2351926954843556,1.0,0.13118,Financial Services
ACN,0.1447191911400193,-0.582633321754425,0.26571700893873446,1.2727922061357855,-0.3255905805114158,-0.14766140810563655,0.33059240722298305,0.5,0.25016,Technology
AOS,0.120232010047754,-0.8267911513343851,0.40444447792086907,1.2727922061357855,-0.25519907783047063,-0.22457766002521007,0.31265319668541586,0.5,0.29197,Industrials
A,0.07011471985961432,0.0769215282418092,0.09264846528287798,0.4242640687119287,-0.4109493605581504,0.06011602456716236,0.35297235161937635,0.6666666666666666,0.19945998,Healthcare
ABT,0.029463217283152862,-0.5396614649200133,0.7640218373368056,0.4242640687119287,-0.5285490987651336,-0.13412412293475484,0.26615531128151176,0.6666666666666666,0.12961,Healthcare
AES,-0.2269938686697013,0.6869530557069629,0.1115638183892873,-1.2727922061357855,-0.713863442225828,0.2522922850053948,0.35052635801581683,1.0,0.01954,Utilities
MMM,-0.2878543726696009,-0.8464205292410675,0.7175776436384042,-1.2727922061357855,0.5243771336353232,-0.23076143950380523,0.27216113100212147,1.0,0.75501,Industrials
ADBE,-0.49729574231691814,-1.6266897668958655,-0.655627809526637,0.4242640687119287,0.24276061477759325,-0.47656713556441577,0.449733906721366,0.6666666666666666,0.58774,Technology
AMD,-1.1967800604869894,-1.6388044627048262,-1.894268253781044,-0.4242640687119281,-0.6275282052614924,-0.4803835890296767,0.609905730462251,0.8333333333333333,0.07082,Technology
